FIPS_PL,QOLjobs_m14r,QOLmed_m14r,QOLk12_m14r,QOLhousing_m14r,QOLgovt_m14r,QOLchildsrv_m14r,QOLseniorsrv_m14r,QOLjobs_i14,QOLmed_i14,QOLk12_i14,QOLhousing_i14,QOLgovt_i14,QOLchildsrv_i14,QOLseniorsrv_i14,QOLjobs_gvg14,QOLmed_gvg14,QOLk12_gvg14,QOLhousing_gvg14,QOLgovt_gvg14,QOLchildsrv_gvg14,QOLseniorsrv_gvg14
1960825,1.5000,2.0000,3.0000,2.2609,2.5417,1.6667,2.0000,16.6667,33.3333,66.6667,42.0290,51.3889,22.2222,33.3333,12.5000,27.2727,75.0000,34.7826,62.5000,0.0000,40.0000
1963750,1.8868,2.8710,3.2319,2.7193,2.9048,2.7857,2.8409,29.5597,62.3656,74.3961,57.3099,63.4921,59.5238,61.3636,20.7547,77.4194,86.9565,63.1579,82.5397,66.6667,63.6364
1963975,2.3421,3.1525,3.3396,2.8667,3.3393,3.0345,2.7742,44.7368,71.7514,77.9874,62.2222,77.9762,67.8161,59.1398,44.7368,79.6610,86.7925,82.2222,91.0714,79.3103,61.2903
1964065,1.7547,1.3333,3.2364,2.3684,2.5102,2.4048,2.1905,25.1572,11.1111,74.5455,45.6140,50.3401,46.8254,39.6825,11.3208,4.7619,80.0000,49.1228,55.1020,45.2381,42.8571
1965235,1.7143,2.3125,3.3125,2.3409,2.7400,2.3600,2.1923,23.8095,43.7500,77.0833,44.6970,58.0000,45.3333,39.7436,19.0476,50.0000,90.6250,43.1818,68.0000,48.0000,34.6154
1965370,1.8684,1.5625,2.9091,2.5714,3.0769,2.6774,2.2381,28.9474,18.7500,63.6364,52.3810,69.2308,55.9140,41.2698,21.0526,18.7500,75.0000,54.7619,82.0513,58.0645,28.5714
1969510,1.3889,2.0667,2.6316,2.2059,2.6744,2.1000,2.0455,12.9630,35.5556,54.3860,40.1961,55.8140,36.6667,34.8485,0.0000,26.6667,63.1579,26.4706,55.8140,35.0000,36.3636
1969645,2.1111,3.5574,3.1702,2.5625,3.0000,2.7813,2.8919,37.0370,85.2459,72.3404,52.0833,66.6667,59.3750,63.0631,31.1111,95.0820,82.9787,52.0833,81.4815,59.3750,75.6757
1969735,2.8889,3.3086,3.5385,2.7945,3.0294,3.2885,2.7377,62.9630,76.9547,84.6154,59.8174,67.6471,76.2821,57.9235,72.2222,85.1852,92.3077,68.4932,85.2941,90.3846,59.0164
1969915,1.6250,1.9189,3.1200,2.6087,2.6800,2.2500,1.8889,20.8333,30.6306,70.6667,53.6232,56.0000,41.6667,29.6296,15.6250,35.1351,84.0000,63.0435,54.0000,42.8571,16.6667
1972210,2.8636,2.9697,3.4098,2.6271,2.8644,2.8636,2.3529,62.1212,65.6566,80.3279,54.2373,62.1469,62.1212,45.0980,74.2424,75.7576,91.8033,57.6271,81.3559,75.0000,50.0000
1972975,2.0000,3.1077,3.0566,2.4490,2.8621,3.0000,2.5000,33.3333,70.2564,68.5535,48.2993,62.0690,66.6667,50.0000,30.0000,80.0000,77.3585,55.1020,72.4138,81.8182,52.3810
1978735,2.1333,3.0517,3.4200,2.7308,3.0980,3.2222,2.6136,37.7778,68.3908,80.6667,57.6923,69.9346,74.0741,53.7879,35.5556,77.5862,90.0000,71.1538,86.2745,86.6667,56.8182
1979815,1.9000,2.3333,3.0000,2.7931,3.0000,3.0400,2.5000,30.0000,44.4444,66.6667,59.7701,66.6667,68.0000,50.0000,30.0000,50.0000,85.7143,68.9655,84.6154,76.0000,50.0000
1980580,1.6875,1.9286,3.5000,2.9556,3.0800,3.4800,2.9211,22.9167,30.9524,83.3333,65.1852,69.3333,82.6667,64.0351,12.5000,21.4286,88.6364,82.2222,84.0000,96.0000,71.0526
1980985,1.5435,2.7400,2.8750,2.2500,2.5366,2.2500,2.2059,18.1159,58.0000,62.5000,41.6667,51.2195,41.6667,40.1961,6.5217,66.0000,72.9167,32.5000,53.6585,35.7143,32.3529
1982740,1.7679,3.3492,3.1455,2.4815,2.7407,2.8056,2.6047,25.5952,78.3069,71.5152,49.3827,58.0247,60.1852,53.4884,16.0714,87.3016,83.6364,53.7037,66.6667,72.2222,65.1163
1982875,2.8750,3.3014,3.6393,2.7231,3.2615,2.8780,2.9302,62.5000,76.7123,87.9781,57.4359,75.3846,62.6016,64.3411,71.4286,89.0411,96.7213,58.4615,87.6923,73.1707,81.3953
1983145,1.7424,2.9868,3.0781,2.5672,2.6615,2.8000,2.7143,24.7475,66.2281,69.2708,52.2388,55.3846,60.0000,57.1429,15.1515,80.2632,78.1250,58.2090,61.5385,75.0000,57.1429
1983325,1.7903,1.8182,3.3385,2.8308,3.0847,2.9038,2.5370,26.3441,27.2727,77.9487,61.0256,69.4915,63.4615,51.2346,17.7419,27.2727,83.0769,69.2308,83.0508,65.3846,46.2963
1984900,1.2414,1.5000,2.4750,1.9024,2.5714,2.0500,1.6500,8.0460,16.6667,49.1667,30.0813,52.3810,35.0000,21.6667,3.4483,12.5000,55.0000,17.0732,54.2857,25.0000,10.0000
1985845,2.8000,3.3594,3.7424,3.2881,3.2424,3.3095,2.7778,60.0000,78.6458,91.4141,76.2712,74.7475,76.9841,59.2593,67.2727,93.7500,96.9697,89.8305,89.3939,90.4762,71.1111
1986385,1.5111,2.3542,3.1786,2.2979,2.9808,2.5143,2.4884,17.0370,45.1389,72.6190,43.2624,66.0256,50.4762,49.6124,8.8889,45.8333,80.3571,40.4255,80.7692,54.2857,46.5116
1986970,2.0250,1.3333,3.1273,2.4130,2.7778,2.6000,2.5588,34.1667,11.1111,70.9091,47.1014,59.2593,53.3333,51.9608,30.0000,13.3333,81.8182,43.4783,77.7778,54.2857,52.9412
