FIPS,City,Year,Population,Primary.Point,Date,MSA,microMSA
1917670,Crystal Lake,July 01 2005,267,POINT (-93.792707 43.2229779),7/1/05,,
1952995,Modale,NA,266.3350052,NA,7/1/20,,
1945660,Liscomb,July 01 2006,266,POINT (-93.0061716 42.1910286),7/1/06,,
1916815,Coulter,July 01 2016,266,POINT (-93.3700471 42.73312),7/1/16,,
1964560,Prescott,April 01 2000,266,POINT (-94.6129796 41.0238035),4/1/00,,
1948585,Mallard,July 01 2015,266,POINT (-94.6831596 42.9393896),7/1/15,,
1961770,Parnell,July 01 2018,266,POINT (-92.0045582 41.583661),7/1/18,,
1943680,Laurel,April 01 2000,266,POINT (-92.922164 41.884062),4/1/00,,
1941295,Kimballton,July 01 1996,266,POINT (-95.0748694 41.6271029),7/1/96,,
1943050,La Motte,July 01 2009,266,POINT (-90.6234291 42.2957342),7/1/09,,
1903115,Arthur,July 01 1992,266,POINT (-95.3469405 42.3353614),7/1/92,,
1966540,Rhodes,July 01 1992,266,POINT (-93.1836907 41.9278263),7/1/92,,
1966450,Renwick,July 01 1997,266,POINT (-93.9813336 42.8269157),7/1/97,,
1952815,Mingo,July 01 2006,266,POINT (-93.2826185 41.7662068),7/1/06,,
1917130,Crawfordsville,July 01 2016,266,POINT (-91.5366275 41.2139194),7/1/16,,
1934860,Harvey,July 01 1998,266,POINT (-92.922688 41.3179424),7/1/98,,
1943680,Laurel,July 01 2002,266,POINT (-92.922164 41.884062),7/1/02,,
1917130,Crawfordsville,July 01 2012,266,POINT (-91.5366275 41.2139194),7/1/12,,
1943050,La Motte,July 01 1991,266,POINT (-90.6234291 42.2957342),7/1/91,,
1919585,Defiance,July 01 2018,266,POINT (-95.3403538 41.8254177),7/1/18,,
1973155,Silver City,July 01 2008,266,POINT (-95.6378733 41.1113884),7/1/08,,
1941610,Kiron,July 01 2003,266,POINT (-95.3272682 42.1941298),7/1/03,,
1940665,Kensett,April 01 2010,266,POINT (-93.2106319 43.3534357),4/1/10,,
1917670,Crystal Lake,April 01 1990,266,POINT (-93.792707 43.2229779),4/1/90,,
1917130,Crawfordsville,July 01 2014,266,POINT (-91.5366275 41.2139194),7/1/14,,
1980490,Van Wert,July 01 1998,266,POINT (-93.7918044 40.8710641),7/1/98,,
1938460,Ionia,July 01 2004,266,POINT (-92.4584186 43.0360537),7/1/04,,
1951420,Meservey,July 01 1997,266,POINT (-93.4733851 42.9156435),7/1/97,,
1901540,Alta Vista,April 01 2010,266,POINT (-92.4170267 43.1967709),4/1/10,,
1916590,Corwith,July 01 2015,266,POINT (-93.9580791 42.9890004),7/1/15,,
1919450,Dedham,July 01 2002,266,POINT (-94.8232369 41.9087315),7/1/02,,
1948585,Mallard,July 01 2008,266,POINT (-94.6831596 42.9393896),7/1/08,,
1943680,Laurel,July 01 2001,266,POINT (-92.922164 41.884062),7/1/01,,
1941610,Kiron,July 01 2019,266,POINT (-95.3272682 42.1941298),7/1/19,,
1919450,Dedham,April 01 2010,266,POINT (-94.8232369 41.9087315),4/1/10,,
1975405,Stockport,July 01 1996,266,POINT (-91.8333604 40.8572858),7/1/96,,
1919585,Defiance,July 01 2017,266,POINT (-95.3403538 41.8254177),7/1/17,,
1917130,Crawfordsville,NA,265.1141424,NA,7/1/20,,
1964560,Prescott,July 01 1993,265,POINT (-94.6129796 41.0238035),7/1/93,,
1912990,Chelsea,July 01 2011,265,POINT (-92.3945142 41.9204989),7/1/11,,
1903610,Auburn,July 01 2009,265,POINT (-94.8777258 42.2495688),7/1/09,,
1917130,Crawfordsville,April 01 1990,265,POINT (-91.5366275 41.2139194),4/1/90,,
1940665,Kensett,July 01 2008,265,POINT (-93.2106319 43.3534357),7/1/08,,
1901540,Alta Vista,July 01 2007,265,POINT (-92.4170267 43.1967709),7/1/07,,
1943680,Laurel,July 01 2003,265,POINT (-92.922164 41.884062),7/1/03,,
1906175,Bertram,July 01 2003,265,POINT (-91.5376397 41.9511334),7/1/03,,
1917130,Crawfordsville,July 01 2011,265,POINT (-91.5366275 41.2139194),7/1/11,,
1919450,Dedham,July 01 2012,265,POINT (-94.8232369 41.9087315),7/1/12,,
1901540,Alta Vista,July 01 2005,265,POINT (-92.4170267 43.1967709),7/1/05,,
1975405,Stockport,July 01 1994,265,POINT (-91.8333604 40.8572858),7/1/94,,
1961815,Paton,April 01 2000,265,POINT (-94.2550567 42.1642219),4/1/00,,
1948585,Mallard,July 01 2014,265,POINT (-94.6831596 42.9393896),7/1/14,,
1943680,Laurel,July 01 2004,265,POINT (-92.922164 41.884062),7/1/04,,
1966450,Renwick,July 01 2017,265,POINT (-93.9813336 42.8269157),7/1/17,,
1946065,Lockridge,July 01 2004,265,POINT (-91.7492245 40.9936662),7/1/04,,
1945390,Linden,July 01 2005,265,POINT (-94.2699847 41.6427085),7/1/05,,
