year,city_name,county,latitude,longitude,city_size,population,radius_mi,crop,ag_tot,crop_tot,crop_prop
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,fallow_idle_cropland,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,apples,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,christmas_trees,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,triticale,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,dbl_crop_winwht_corn,82960200,13500,1.627286337303912e-4
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,dbl_crop_oats_corn,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,pumpkins,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,dbl_crop_winwht_sorghum,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,dbl_crop_barley_corn,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,dbl_crop_soybeans_oats,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,dbl_crop_corn_soybeans,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,cabbage,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,canola,82960200,NA,NA
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,corn,97826400,49266000,0.503606388459557
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,sorghum,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,soybeans,97826400,46008900,0.47031169500257597
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,sweet_corn,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,pop_or_orn_corn,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,barley,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,durum_wheat,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,spring_wheat,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,winter_wheat,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,dbl_crop_winwht_soybeans,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,rye,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,oats,97826400,409500,0.004185986604842864
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,millet,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,alfalfa,97826400,1170900,0.011969161698682564
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,other_hay_non_alfalfa,97826400,971100,0.00992676823434165
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,dry_beans,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,potatoes,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,other_crops,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,peas,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,sod_grass_seed,97826400,0,0
2014,Albion,Marshall County,42.11,-92.98,RURAL,469,5,switchgrass,97826400,0,0
