"","FIPS","City","Year","Population","longitude","latitude","Date","MSA","microMSA"
"5223",1932790,"Greenfield","July 01 2018",1816,-94.4591514,41.305599,"7/1/18","",""
"5224",1907390,"Bondurant","July 01 1996",1816,-93.4546681,41.6985333,"7/1/96","",""
"5225",1953355,"Monroe","July 01 2004",1815,-93.1037482,41.5189365,"7/1/04","",""
"5226",1954480,"Mount Ayr","July 01 1991",1815,-94.2376587,40.7141372,"7/1/91","",""
"5227",1901495,"Alta","July 01 2004",1815,-95.3045104,42.6716795,"7/1/04","",""
"5228",1953355,"Monroe","July 01 2001",1814,-93.1037482,41.5189365,"7/1/01","",""
"5229",1953355,"Monroe","July 01 2009",1813,-93.1037482,41.5189365,"7/1/09","",""
"5230",1953355,"Monroe","July 01 2007",1813,-93.1037482,41.5189365,"7/1/07","",""
"5231",1915420,"Columbus Junction","July 01 1999",1812,-91.3650803,41.2787342,"7/1/99","",""
"5232",1942465,"Lake City","July 01 1999",1812,-94.7310464,42.2676372,"7/1/99","",""
"5233",1915420,"Columbus Junction","July 01 1998",1812,-91.3650803,41.2787342,"7/1/98","",""
"5234",1915420,"Columbus Junction","July 01 1996",1812,-91.3650803,41.2787342,"7/1/96","",""
"5235",1953355,"Monroe","July 01 2011",1812,-93.1037482,41.5189365,"7/1/11","",""
"5236",1911305,"Cascade","April 01 1990",1812,-91.0045814,42.3019211,"4/1/90","",""
"5237",1932790,"Greenfield",NA,1811.351142,NA,NA,"7/1/20","",""
"5238",1900190,"Ackley","July 01 2001",1811,-93.0527656,42.5518776,"7/1/01","",""
"5239",1901495,"Alta","July 01 1997",1811,-95.3045104,42.6716795,"7/1/97","",""
"5240",1912270,"Center Point","July 01 1994",1810,-91.7794373,42.1843009,"7/1/94","",""
"5241",1933465,"Guttenberg","July 01 2018",1809,-91.1059046,42.7887133,"7/1/18","",""
"5242",1963975,"Pocahontas","July 01 2007",1809,-94.6661298,42.7371357,"7/1/07","",""
"5243",1900190,"Ackley","April 01 2000",1809,-93.0527656,42.5518776,"4/1/00","",""
"5244",1956325,"New London","July 01 2008",1809,-91.4011156,40.9231717,"7/1/08","",""
"5245",1956325,"New London",NA,1808.264326,NA,NA,"7/1/20","",""
"5246",1953355,"Monroe","July 01 2002",1808,-93.1037482,41.5189365,"7/1/02","",""
"5247",1915420,"Columbus Junction","July 01 1997",1808,-91.3650803,41.2787342,"7/1/97","",""
"5248",1953355,"Monroe","April 01 2000",1808,-93.1037482,41.5189365,"4/1/00","",""
"5249",1954480,"Mount Ayr","July 01 2005",1807,-94.2376587,40.7141372,"7/1/05","",""
"5250",1920035,"Denver","July 01 2014",1807,-92.3346405,42.6688889,"7/1/14","",""
"5251",1967800,"Robins","April 01 2000",1806,-91.6767765,42.0792696,"4/1/00","",""
